source	creator	date	title	identifier	publisher
http://obvil.github.io/critique2000/tei/bpt6k6260563k.xml	Latour, Antoine de (1808-1881)	1835	Essai sur l'étude de l'histoire en France au dix-neuvième siècle / par Antoine de Latour,...	http://gallica.bnf.fr/ark:/12148/bpt6k6260563k	Joubert (Paris)
http://obvil.github.io/critique2000/tei/bpt6k626083.xml	Scholl, Aurélien (1833-1902)	1861	Discours contre M. Legouvé, à propos de Mme Ristori et du théâtre des jeunes auteurs / Aurélien Scholl	http://gallica.bnf.fr/ark:/12148/bpt6k626083	tous les libraires (Paris)
http://obvil.github.io/critique2000/tei/bpt6k62615345.xml	Monnier, Marc (1827-1885)	1884	Histoire de la littérature moderne. La Renaissance, de Dante à Luther / par Marc-Monnier	http://gallica.bnf.fr/ark:/12148/bpt6k62615345	Firmin-Didot et Cie (Paris)
http://obvil.github.io/critique2000/tei/bpt6k62616726.xml	Lambert, Claude-François (1705-1765)	1751	Histoire littéraire du règne de Louis XIV. Tome 1 / . Dédiée au roy. Par M. l'abbé Lambert	http://gallica.bnf.fr/ark:/12148/bpt6k62616726	Prault fils (Paris)
http://obvil.github.io/critique2000/tei/bpt6k62620978.xml	Voltaire (1694-1778)	1821	Lettres inédites de Voltaire, de Mme Denys et de Colini, adressées à M. Dupont, avocat au Conseil souverain de Colmar, précédées d'un Jugement philosophique et littéraire sur Voltaire [extrait d'un cours de littérature inédit de J.-J. Regnault-Warin], et suivies d'une Épître inédite au roi de Prusse, et de fragmens de lettres à Grimm, Diderot, Helvétius, Thiriot, Damilaville, au Mis de Fraigne et autres [à M, à son neveu d'Hornoy, à Pigalle]	http://gallica.bnf.fr/ark:/12148/bpt6k62620978	P. Mongie aîné (Paris)
http://obvil.github.io/critique2000/tei/bpt6k62622791.xml	Genlis, Stéphanie-Félicité Du Crest (1746-1830 ; comtesse de)	1811	De l'influence des femmes sur la littérature française, comme protectrices des lettres et comme auteurs, ou Précis de l'histoire des femmes françaises les plus célèbres . Par madame de Genlis	http://gallica.bnf.fr/ark:/12148/bpt6k62622791	Maradan (Paris)
http://obvil.github.io/critique2000/tei/bpt6k6269285x.xml	Biré, Edmond (1829-1907)	1892	Portraits historiques et littéraires... / Edmond Biré	http://gallica.bnf.fr/ark:/12148/bpt6k6269285x	E. Vitte (Lyon)
http://obvil.github.io/critique2000/tei/bpt6k62692885.xml	Saint-Victor, Paul de (1827-1881)	1886	Anciens et modernes / par Paul de Saint-Victor ; [publié par Alidor Delzant]	http://gallica.bnf.fr/ark:/12148/bpt6k62692885	Calmann Lévy (Paris)
http://obvil.github.io/critique2000/tei/bpt6k6269361v.xml	Pastoret, Emmanuel (1755-1840)	1869	Histoire littéraire de la France. T. XIII, Suite du XIIe siècle (Nouvelle édition, conforme à la précédente) / [par Pastoret, Dom Brial, Ginguené et Daunou] ; ouvrage commencé par des religieux Bénédictins de la Congrégation de Saint-Maur ; et continué par une Commission prise dans la classe d'histoire et de littérature ancienne de l'Institut	http://gallica.bnf.fr/ark:/12148/bpt6k6269361v	V. Palmé (Paris)
http://obvil.github.io/critique2000/tei/bpt6k6270109p.xml	Viollet, Paul (1840-1914)	1914	Histoire littéraire de la France. 34-37, Suite du quatorzième siècle. Tome 34 / ouvrage commencé par des religieux bénédictins de la Congrégation de Saint-Maur et continué par des membres de l'Institut (Académie des Inscriptions et Belles-Lettres)	http://gallica.bnf.fr/ark:/12148/bpt6k6270109p	Impr. nationale (Paris)
